 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.00000,306,0,306,306,306,137.07214,166.65034,1381.00000,1679.00000,0,0.11200,0.11200,0,0.00000,0,3.01462,306,NaN,NaN,100,306,1,1381.00000,1679.00000,0,0,0.00000,0.00000,NaN
2,0.00000,160,0,160,160,160,140.29795,172.25829,1413.50000,1735.50000,0,0.11200,0.11200,0,0.00000,0,1.57627,160,NaN,NaN,100,160,1,1413.50000,1735.50000,0,0,0.00000,0.00000,NaN
3,0.00000,134,0,134,134,134,123.92076,176.72479,1248.50000,1780.50000,0,0.11200,0.11200,0,0.00000,0,1.32013,134,NaN,NaN,100,134,1,1248.50000,1780.50000,0,0,0.00000,0.00000,NaN
4,0.00000,134,0,134,134,134,116.17881,178.21363,1170.50000,1795.50000,0,0.11200,0.11200,0,0.00000,0,1.32013,134,NaN,NaN,100,134,1,1170.50000,1795.50000,0,0,0.00000,0.00000,NaN
5,0.00000,264,0,264,264,264,115.88104,189.23101,1167.50000,1906.50000,0,0.11200,0.11200,0,0.00000,0,2.60085,264,NaN,NaN,100,264,1,1167.50000,1906.50000,0,0,0.00000,0.00000,NaN
6,0.00000,293,0,293,293,293,124.81406,185.36004,1257.50000,1867.50000,0,0.11200,0.11200,0,0.00000,0,2.88655,293,NaN,NaN,100,293,1,1257.50000,1867.50000,0,0,0.00000,0.00000,NaN
7,0.00000,176,0,176,176,176,134.04484,185.06227,1350.50000,1864.50000,0,0.11200,0.11200,0,0.00000,0,1.73390,176,NaN,NaN,100,176,1,1350.50000,1864.50000,0,0,0.00000,0.00000,NaN
8,0.00000,289,0,289,289,289,139.70241,185.65781,1407.50000,1870.50000,0,0.11200,0.11200,0,0.00000,0,2.84714,289,NaN,NaN,100,289,1,1407.50000,1870.50000,0,0,0.00000,0.00000,NaN
9,0.00000,141,0,141,141,141,135.53367,189.23101,1365.50000,1906.50000,0,0.11200,0.11200,0,0.00000,0,1.38909,141,NaN,NaN,100,141,1,1365.50000,1906.50000,0,0,0.00000,0.00000,NaN
10,0.00000,465,0,465,465,465,129.57833,194.29305,1305.50000,1957.50000,0,0.11200,0.11200,0,0.00000,0,4.58104,465,NaN,NaN,100,465,1,1305.50000,1957.50000,0,0,0.00000,0.00000,NaN
11,0.00000,146,0,146,146,146,134.64037,195.18636,1356.50000,1966.50000,0,0.11200,0.11200,0,0.00000,0,1.43835,146,NaN,NaN,100,146,1,1356.50000,1966.50000,0,0,0.00000,0.00000,NaN
12,0.00000,104,0,104,104,104,136.72474,200.24840,1377.50000,2017.50000,0,0.11200,0.11200,0,0.00000,0,1.02458,104,NaN,NaN,100,104,1,1377.50000,2017.50000,0,0,0.00000,0.00000,NaN
13,0.00000,128,0,128,128,128,134.34261,203.52384,1353.50000,2050.50000,0,0.11200,0.11200,0,0.00000,0,1.26102,128,NaN,NaN,100,128,1,1353.50000,2050.50000,0,0,0.00000,0.00000,NaN
14,0.00000,174,0,174,174,174,128.98280,202.33277,1299.50000,2038.50000,0,0.11200,0.11200,0,0.00000,0,1.71420,174,NaN,NaN,100,174,1,1299.50000,2038.50000,0,0,0.00000,0.00000,NaN
15,0.00000,174,0,174,174,174,135.23591,208.28811,1362.50000,2098.50000,0,0.11200,0.11200,0,0.00000,0,1.71420,174,NaN,NaN,100,174,1,1362.50000,2098.50000,0,0,0.00000,0.00000,NaN
16,0.00000,230,0,230,230,230,121.83639,210.37248,1227.50000,2119.50000,0,0.11200,0.11200,0,0.00000,0,2.26589,230,NaN,NaN,100,230,1,1227.50000,2119.50000,0,0,0.00000,0.00000,NaN
17,0.00000,263,0,263,263,263,128.38726,213.05238,1293.50000,2146.50000,0,0.11200,0.11200,0,0.00000,0,2.59100,263,NaN,NaN,100,263,1,1293.50000,2146.50000,0,0,0.00000,0.00000,NaN
18,0.00000,156,0,156,156,156,134.54112,219.50401,1355.50000,2211.50000,0,0.11200,0.11200,0,0.00000,0,1.53686,156,NaN,NaN,100,156,1,1355.50000,2211.50000,0,0,0.00000,0.00000,NaN
