 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.00000,25390,0,25390,25390,25390,117.71727,21.24072,1186.00000,214.00000,0,0.11200,0.11200,0,0.00000,0,250.13457,25390,NaN,NaN,100,25390,1,1186.00000,214.00000,0,0,0.00000,0.00000,NaN
2,0.00000,15097,0,15097,15097,15097,112.70486,19.40449,1135.50000,195.50000,0,0.11200,0.11200,0,0.00000,0,148.73106,15097,NaN,NaN,100,15097,1,1135.50000,195.50000,0,0,0.00000,0.00000,NaN
3,0.00000,3431,0,3431,3431,3431,124.21852,19.60300,1251.50000,197.50000,0,0.11200,0.11200,0,0.00000,0,33.80117,3431,NaN,NaN,100,3431,1,1251.50000,197.50000,0,0,0.00000,0.00000,NaN
4,0.00000,37400,0,37400,37400,37400,115.08700,15.23575,1159.50000,153.50000,0,0.11200,0.11200,0,0.00000,0,368.45344,37400,NaN,NaN,100,37400,1,1159.50000,153.50000,0,0,0.00000,0.00000,NaN
5,0.00000,3431,0,3431,3431,3431,116.67509,17.22087,1175.50000,173.50000,0,0.11200,0.11200,0,0.00000,0,33.80117,3431,NaN,NaN,100,3431,1,1175.50000,173.50000,0,0,0.00000,0.00000,NaN
6,0.00000,21616,0,21616,21616,21616,115.28551,6.89827,1161.50000,69.50000,0,0.11200,0.11200,0,0.00000,0,212.95427,21616,NaN,NaN,100,21616,1,1161.50000,69.50000,0,0,0.00000,0.00000,NaN
7,0.00000,43919,0,43919,43919,43919,133.35005,19.60300,1343.50000,197.50000,0,0.11200,0.11200,0,0.00000,0,432.67665,43919,NaN,NaN,100,43919,1,1343.50000,197.50000,0,0,0.00000,0.00000,NaN
8,0.00000,52154,0,52154,52154,52154,137.51879,20.19854,1385.50000,203.50000,0,0.11200,0.11200,0,0.00000,0,513.80536,52154,NaN,NaN,100,52154,1,1385.50000,203.50000,0,0,0.00000,0.00000,NaN
9,0.00000,53869,0,53869,53869,53869,137.51879,23.97025,1385.50000,241.50000,0,0.11200,0.11200,0,0.00000,0,530.70102,53869,NaN,NaN,100,53869,1,1385.50000,241.50000,0,0,0.00000,0.00000,NaN
10,0.00000,65535,0,65535,65535,65535,128.58577,21.98514,1295.50000,221.50000,0,0.11200,0.11200,0,0.00000,0,645.63091,65535,NaN,NaN,100,65535,1,1295.50000,221.50000,0,0,0.00000,0.00000,NaN
11,0.00000,11666,0,11666,11666,11666,138.31283,50.17376,1393.50000,505.50000,0,0.11200,0.11200,0,0.00000,0,114.92989,11666,NaN,NaN,100,11666,1,1393.50000,505.50000,0,0,0.00000,0.00000,NaN
12,0.00000,3431,0,3431,3431,3431,141.48902,46.79907,1425.50000,471.50000,0,0.11200,0.11200,0,0.00000,0,33.80117,3431,NaN,NaN,100,3431,1,1425.50000,471.50000,0,0,0.00000,0.00000,NaN
13,0.00000,2744,0,2744,2744,2744,140.49646,40.84373,1415.50000,411.50000,0,0.11200,0.11200,0,0.00000,0,27.03305,2744,NaN,NaN,100,2744,1,1415.50000,411.50000,0,0,0.00000,0.00000,NaN
14,0.00000,1715,0,1715,1715,1715,139.70241,38.06457,1407.50000,383.50000,0,0.11200,0.11200,0,0.00000,0,16.89566,1715,NaN,NaN,100,1715,1,1407.50000,383.50000,0,0,0.00000,0.00000,NaN
15,0.00000,22302,0,22302,22302,22302,145.06222,41.43926,1461.50000,417.50000,0,0.11200,0.11200,0,0.00000,0,219.71253,22302,NaN,NaN,100,22302,1,1461.50000,417.50000,0,0,0.00000,0.00000,NaN
16,0.00000,18528,0,18528,18528,18528,146.84882,41.04224,1479.50000,413.50000,0,0.11200,0.11200,0,0.00000,0,182.53223,18528,NaN,NaN,100,18528,1,1479.50000,413.50000,0,0,0.00000,0.00000,NaN
17,0.00000,8578,0,8578,8578,8578,143.67264,38.06457,1447.50000,383.50000,0,0.11200,0.11200,0,0.00000,0,84.50785,8578,NaN,NaN,100,8578,1,1447.50000,383.50000,0,0,0.00000,0.00000,NaN
18,0.00000,7205,0,7205,7205,7205,146.45180,37.07201,1475.50000,373.50000,0,0.11200,0.11200,0,0.00000,0,70.98147,7205,NaN,NaN,100,7205,1,1475.50000,373.50000,0,0,0.00000,0.00000,NaN
19,0.00000,7548,0,7548,7548,7548,152.80417,39.45415,1539.50000,397.50000,0,0.11200,0.11200,0,0.00000,0,74.36060,7548,NaN,NaN,100,7548,1,1539.50000,397.50000,0,0,0.00000,0.00000,NaN
20,0.00000,9264,0,9264,9264,9264,147.64287,31.31518,1487.50000,315.50000,0,0.11200,0.11200,0,0.00000,0,91.26611,9264,NaN,NaN,100,9264,1,1487.50000,315.50000,0,0,0.00000,0.00000,NaN
21,0.00000,8921,0,8921,8921,8921,147.04734,28.33751,1481.50000,285.50000,0,0.11200,0.11200,0,0.00000,0,87.88698,8921,NaN,NaN,100,8921,1,1481.50000,285.50000,0,0,0.00000,0.00000,NaN
22,0.00000,2744,0,2744,2744,2744,152.20863,28.33751,1533.50000,285.50000,0,0.11200,0.11200,0,0.00000,0,27.03305,2744,NaN,NaN,100,2744,1,1533.50000,285.50000,0,0,0.00000,0.00000,NaN
23,0.00000,3774,0,3774,3774,3774,145.26073,32.50625,1463.50000,327.50000,0,0.11200,0.11200,0,0.00000,0,37.18030,3774,NaN,NaN,100,3774,1,1463.50000,327.50000,0,0,0.00000,0.00000,NaN
24,0.00000,13038,0,13038,13038,13038,148.03989,48.78418,1491.50000,491.50000,0,0.11200,0.11200,0,0.00000,0,128.44642,13038,NaN,NaN,100,13038,1,1491.50000,491.50000,0,0,0.00000,0.00000,NaN
25,0.00000,14067,0,14067,14067,14067,147.04734,54.54101,1481.50000,549.50000,0,0.11200,0.11200,0,0.00000,0,138.58381,14067,NaN,NaN,100,14067,1,1481.50000,549.50000,0,0,0.00000,0.00000,NaN
26,0.00000,21616,0,21616,21616,21616,139.50390,56.32762,1405.50000,567.50000,0,0.11200,0.11200,0,0.00000,0,212.95427,21616,NaN,NaN,100,21616,1,1405.50000,567.50000,0,0,0.00000,0.00000,NaN
27,0.00000,16126,0,16126,16126,16126,140.29795,61.29040,1413.50000,617.50000,0,0.11200,0.11200,0,0.00000,0,158.86845,16126,NaN,NaN,100,16126,1,1413.50000,617.50000,0,0,0.00000,0.00000,NaN
28,0.00000,13038,0,13038,13038,13038,143.87115,57.71720,1449.50000,581.50000,0,0.11200,0.11200,0,0.00000,0,128.44642,13038,NaN,NaN,100,13038,1,1449.50000,581.50000,0,0,0.00000,0.00000,NaN
